Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Unit Code,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Status,Energy Source 1,Energy Source 2,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year
195,Alabama Power Co,3,Barry,AL,Mobile,1,ST,,153.1,138.0,138.0,OP,BIT,,2,1954,12,2019
195,Alabama Power Co,3,Barry,AL,Mobile,2,ST,,153.1,137.0,137.0,OP,BIT,,7,1954,12,2019
195,Alabama Power Co,3,Barry,AL,Mobile,3,ST,,272.0,249.0,249.0,OP,BIT,,7,1959, , 
195,Alabama Power Co,3,Barry,AL,Mobile,4,ST,,403.7,362.0,362.0,OP,BIT,,12,1969, , 
195,Alabama Power Co,3,Barry,AL,Mobile,5,ST,,788.8,726.5,726.5,OP,BIT,,10,1971, , 
195,Alabama Power Co,7,Gadsden,AL,Etowah,1,ST,,69.0,64.0,64.0,OP,BIT,NG,4,1949,12,2019
195,Alabama Power Co,7,Gadsden,AL,Etowah,2,ST,,69.0,66.0,66.0,OP,BIT,NG,7,1949,12,2019
195,Alabama Power Co,8,Gorgas,AL,Walker,10,ST,,788.8,703.0,703.0,OP,BIT,,10,1972, , 
195,Alabama Power Co,8,Gorgas,AL,Walker,6,ST,,125.0,103.0,103.0,OP,BIT,,4,1951,4,2015
195,Alabama Power Co,8,Gorgas,AL,Walker,7,ST,,125.0,104.0,104.0,OP,BIT,,7,1952,4,2015
195,Alabama Power Co,8,Gorgas,AL,Walker,8,ST,,187.5,161.0,161.0,OP,BIT,,5,1956, , 
195,Alabama Power Co,8,Gorgas,AL,Walker,9,ST,,190.4,170.0,170.0,OP,BIT,,6,1958, , 
195,Alabama Power Co,10,Greene County,AL,Greene,1,ST,,299.2,254.0,254.0,OP,BIT,SUB,6,1965, , 
195,Alabama Power Co,10,Greene County,AL,Greene,2,ST,,269.2,243.0,243.0,OP,BIT,SUB,7,1966, , 
195,Alabama Power Co,26,E C Gaston,AL,Shelby,1,ST,,272.0,254.0,254.0,OP,BIT,,5,1960, , 
195,Alabama Power Co,26,E C Gaston,AL,Shelby,2,ST,,272.0,256.0,256.0,OP,BIT,,7,1960, , 
195,Alabama Power Co,26,E C Gaston,AL,Shelby,3,ST,,272.0,254.0,254.0,OP,BIT,,6,1961, , 
195,Alabama Power Co,26,E C Gaston,AL,Shelby,5,ST,,952.0,842.0,842.0,OP,BIT,,8,1974, , 
195,Alabama Power Co,26,E C Gaston,AL,Shelby,ST4,ST,,244.8,256.0,256.0,OP,BIT,,6,1962, , 
18642,Tennessee Valley Authority,47,Colbert,AL,Colbert,1,ST,,200.0,178.0,182.0,OP,BIT,SUB,1,1955,3,2016
18642,Tennessee Valley Authority,47,Colbert,AL,Colbert,2,ST,,200.0,178.0,182.0,OP,BIT,SUB,3,1955,3,2016
18642,Tennessee Valley Authority,47,Colbert,AL,Colbert,3,ST,,200.0,178.0,182.0,OP,BIT,SUB,7,1955,3,2016
18642,Tennessee Valley Authority,47,Colbert,AL,Colbert,4,ST,,200.0,178.0,182.0,OP,BIT,SUB,11,1955,3,2016
18642,Tennessee Valley Authority,47,Colbert,AL,Colbert,5,ST,,550.0,472.0,481.0,OP,BIT,,11,1965, , 
18642,Tennessee Valley Authority,50,Widows Creek,AL,Jackson,7,ST,,575.0,473.0,476.0,OP,BIT,,2,1961, , 
18642,Tennessee Valley Authority,50,Widows Creek,AL,Jackson,8,ST,,550.0,465.0,469.0,OP,BIT,,2,1965,4,2015
3265,Cleco Power LLC,51,Dolet Hills,LA,DeSoto,1,ST,,720.7,642.4, ,OP,LIG,,4,1986, , 
189,PowerSouth Energy Cooperative,56,Charles R Lowman,AL,Washington,1,ST,,66.0,80.0,80.0,OP,BIT,,6,1969, , 
189,PowerSouth Energy Cooperative,56,Charles R Lowman,AL,Washington,2,ST,,236.0,238.0,238.0,OP,BIT,,6,1978, , 
189,PowerSouth Energy Cooperative,56,Charles R Lowman,AL,Washington,3,ST,,236.0,238.0,238.0,OP,BIT,,6,1980, , 
40606,City of Grand Island - (NE),59,Platte,NE,HALL,1,ST,,109.8,100.0,100.0,OP,SUB,,12,1982, , 
8245,City of Hastings - (NE),60,Whelan Energy Center,NE,Adams,1,ST,,76.3,77.0,77.0,OP,SUB,,7,1981, , 
8245,City of Hastings - (NE),60,Whelan Energy Center,NE,Adams,2,ST,,248.0,232.0,232.0,OP,SUB,,6,2011, , 
986,Aurora Energy LLC,79,Aurora Energy LLC Chena,AK,Fairbanks North Star,1,ST,,5.0,4.3,4.7,OP,SUB,,6,1952, , 
986,Aurora Energy LLC,79,Aurora Energy LLC Chena,AK,Fairbanks North Star,2,ST,,2.5,2.0,2.0,OP,SUB,,6,1952, , 
986,Aurora Energy LLC,79,Aurora Energy LLC Chena,AK,Fairbanks North Star,5,ST,,20.0,21.7,22.4,OP,SUB,,6,1975, , 
30151,"Tri-State G & T Assn, Inc",87,Escalante,NM,McKinley,1,ST,,257.0,247.0,247.0,OP,SUB,NG,12,1984, , 
18315,Sunflower Electric Power Corp,108,Holcomb,KS,Finney,1,ST,,348.7,358.8,358.8,OP,SUB,NG,8,1983, , 
803,Arizona Public Service Co,113,Cholla,AZ,Navajo,1,ST,,113.6,116.0,116.0,OP,SUB,BIT,5,1962, , 
803,Arizona Public Service Co,113,Cholla,AZ,Navajo,2,ST,,288.9,260.0,260.0,OP,SUB,BIT,6,1978,4,2016
803,Arizona Public Service Co,113,Cholla,AZ,Navajo,3,ST,,312.3,271.0,271.0,OP,SUB,BIT,5,1980, , 
803,Arizona Public Service Co,113,Cholla,AZ,Navajo,4,ST,,414.0,380.0,380.0,OP,SUB,BIT,6,1981, , 
24211,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,AZ,Pima,4,ST,,173.3,156.0,156.0,OP,SUB,NG,7,1967, , 
15474,Public Service Co of Oklahoma,127,Oklaunion,TX,Wilbarger,1,ST,,720.0,650.0,650.0,OP,SUB,,12,1986, , 
17543,South Carolina Public Service Authority,130,Cross,SC,Berkeley,1,ST,,590.9,580.0,590.0,OP,BIT,PC,5,1995, , 
17543,South Carolina Public Service Authority,130,Cross,SC,Berkeley,2,ST,,556.2,570.0,585.0,OP,BIT,,5,1984, , 
17543,South Carolina Public Service Authority,130,Cross,SC,Berkeley,3,ST,,591.0,600.0,600.0,OP,BIT,PC,1,2007, , 
