REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2014,Akutan Seafood Processing Facility,1010624,1 Salmon Lane,54.132189,-165.786894,Akutan,ALEUTIANS EAST,AK,99553,Trident Seafoods Corporation (100%);,52025,C
2014,Anna Platform,1001756,,60.97640051,-151.3151067,Anchorage,Kenai Peninsula,AK,99503,"Hilcorp Alaska, LLC (100%);",25869,"C,W"
2014,Bethel Utilities Corporation,1010937,"3201 C Street, Suite 500",61.19101,-149.88638,Anchorage,ANCHORAGE MUNICIPALITY,AK,99503,Bethel Utilities Corporation (100%);,0,
2014,CHUGACH - BELUGA RIVER POWER PLANT,1005267,"40 MILES WEST OF ANCHORAGE IN BELUGA, AK",61.1853,-151.0366,ANCHORAGE,KENAI PENINSULA,AK,99519,"Chugach Electric Association, Inc. (100%);",707899,C
2014,ConocoPhillips Alaska Inc - ALP,1004722,"ATO 1220, P.O. Box 100360",70.342681,-150.926258,Anchorage,NORTH SLOPE,AK,99510,"Anadarko Petroleum Corp (21.67%);XH LLC (0.3%);Rosewood Resources, Inc. (0.24%);ConocoPhillips (77.35%);Petro-Hunt LLC (0.78%);",0,
2014,ConocoPhillips Alaska Inc - KRU-ALP Fields,1008111,ATO 1220 PO Box 100360,70.325128,-149.605955,Anchorage,NORTH SLOPE,AK,99510,ConocoPhillips (100%);,778668,W
2014,ConocoPhillips Company - BRU,1007101,"ATO 920, P.O. Box 100360",61.200142,-151.018109,Anchorage,KENAI PENINSULA BOROUGH,AK,99510,CHEVRON CORP (33.3%);Municipal Light & Power (33.3%);CONOCO PHILLIPS (33.3%);,109349,W
2014,Cook Inlet Energy Onshore Production,1011231,601 West 5th Avenue Suite 310,61.21768,-149.89405,Anchorage,ANCHORAGE MUNICIPALITY,AK,99501,Cook Inlet Energy LLC (100%);,55685,W
2014,Dolly Varden Platform,1001940,,60.80718265,-151.6351154,Anchorage,Kenai Peninsula,AK,99503,"Hilcorp Alaska, LLC (100%);",126826,"C,W"
2014,GEORGE SULLIVAN PLANT TWO,1003493,8700 Starview Drive,61.230524,-149.715677,ANCHORAGE,ANCHORAGE MUNICIPALITY,AK,99504,Municipality of Anchorage (100%);,297450,C
2014,Granite Point Platform,1001942,,60.958333,-151.331389,Anchorage,Kenai Peninsula,AK,99503,"Hilcorp Alaska, LLC (100%);",28799,"C,W"
2014,Grayling Platform,1001761,,60.83918566,-151.6153143,Anchorage,Kenai Peninsula,AK,99503,"Hilcorp Alaska, LLC (100%);",96495,"C,W"
2014,HANK NIKKELS PLANT ONE,1003492,821 EAST FIRST AVENUE,61.22166,-149.86579,ANCHORAGE,ANCHORAGE MUNICIPALITY,AK,99501,Municipality of Anchorage (100%);,22906,C
2014,"Hilcorp Alaska, LLC 820 Kenai",1009332,3800 Centerpoint Drive Ste 1400,61.18621,-149.89069,Anchorage,,AK,99503,"Hilcorp Alaska, LLC (100%);",94057,W
