REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ponds,unlined,landfill,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2014,BARROW UTILITIES & ELECTRIC,1005395,1295 AGVIK STREET,71.292212,-156.779491,BARROW,NORTH SLOPE,AK,,,,99723,"BARROW UTILITIES & ELECTRIC COOPERATIVE, INC (100%);",43786,C
2014,BERNICE LAKE,1005268,55244 CHEVRON REFINERY ROAD,60.696338,-151.386638,NIKISKI,KENAI PENINSULA,AK,,,,99635,"ALASKA ELECTRIC & ENERGY COOPERATIVE, INC (100%);",21170,C
2014,Bethel Utilities Corporation,1010937,"3201 C Street, Suite 500",61.19101,-149.88638,Anchorage,ANCHORAGE MUNICIPALITY,AK,,,,99503,Bethel Utilities Corporation (100%);,0,
2014,Aurora Energy LLC Chena,1004719,1200  1ST AVE,64.84689,-147.73334,FAIRBANKS,FAIRBANKS NORTH STAR,AK,,,,99701,"AURORA ENERGY, LLC (100%);",328082,C
2014,CHUGACH - BELUGA RIVER POWER PLANT,1005267,"40 MILES WEST OF ANCHORAGE IN BELUGA, AK",61.1853,-151.0366,ANCHORAGE,KENAI PENINSULA,AK,,,,99519,"Chugach Electric Association, Inc. (100%);",707899,C
2014,CLEAR AIR FORCE STATION,1007791,200 A Street Stop 1,64.291944,-149.185,CLEAR AIR STATION,DENALI,AK,,,,99704,CLEAR AIR FORCE STATION (100%);,89430,C
2014,COPPER VALLEY ELECTRIC ASSOC (CoGen),1004974,,61.08304,-146.30223,Valdez,Valdez-Cordova,AK,,,,99686,Copper Valley Electric Association (100%);,19372,C
2014,Dutch Harbor Power House,1008060,1732 East Point Rd,53.89201,-166.535995,Unalaska,ALEUTIANS WEST,AK,,,,99685,City of Unalaska (100%);,31675,C
2014,GEORGE SULLIVAN PLANT TWO,1003493,8700 Starview Drive,61.230524,-149.715677,ANCHORAGE,ANCHORAGE MUNICIPALITY,AK,,,,99504,Municipality of Anchorage (100%);,297450,C
2014,GOLDEN VALLEY ELECTRIC ASSOC NORTH POLE POWER PLANT,1001810,1150 H & H LN,64.735968,-147.348622,NORTH POLE,FAIRBANKS NORTH STAR,AK,,,,99705,GOLDEN VALLEY ELECTRIC ASSOC (100%);,195205,C
2014,GOLDEN VALLEY ELECTRIC ASSOCIATION INC - HEALY POWER PLANT,1007068,2.5 Mile HEALY SPUR ROAD,63.8549,-148.9496,HEALY,DENALI,AK,,,,99743,GOLDEN VALLEY ELECTRIC ASSOC (100%);,297142,C
2014,HANK NIKKELS PLANT ONE,1003492,821 EAST FIRST AVENUE,61.22166,-149.86579,ANCHORAGE,ANCHORAGE MUNICIPALITY,AK,,,,99501,Municipality of Anchorage (100%);,22906,C
2014,International Station Power Plant,1010606,6075 Electron Drive,61.168307,-149.908115,Anchorage,ANCHORAGE,AK,,,,99518,"Anchorage Municipal Light & Power (29%);Chugach Electric Association, Inc. (71%);",523176,C
2014,NIKISKI CO-GENERATION,1007874,48169 KENAI SPUR HIGHWAY,60.676539,-151.377713,NIKISKI,KENAI PENINSULA,AK,,,,99635,"ALASKA ELECTRIC & ENERGY COOPERATIVE, INC (100%);",171829,C
2014,Soldotna Combustion Turbine Plant,1011532,41925 Sterling Highway,60.49962,-150.99651,Soldotna,KENAI PENINSULA BOROUGH,AK,,,,99669,HOMER ELECTRIC ASSOCIATION (100%);,27364,C
2014,TDX NORTH SLOPE GEN/NORTH SLOPE GENERATI,1005711,615 E. 82nd Avenue Suite 200,61.14625,-149.87125,ANCHORAGE,ANCHORAGE MUNICIPALITY,AK,,,,99518,Tanadgusix Corporation (100%);,56427,C
2014,UTILITY PLANTS SECTION,1004239,"BLDG 3595, Oak Street",64.823,-147.6106,FORT WAINWRIGHT,FAIRBANKS NORTH STAR,AK,,,,99703,Fairbanks Sewer and Water (50%);Doyon Properties Inc. (50%);,380483,C
2014,AMEA Sylacauga Plant,1007178,125 THOMPSON LANE,33.1661,-86.2825,SYLACAUGA,Talladega,AL,,,,35150,ALABAMA MUNICIPAL ELECTRIC AUTHORITY (100%);,17008,D
2014,Barry,1001412,15300 Highway 43 North,31.0069,-88.0103,BUCKS,Mobile,AL,,,,36512,SOUTHERN CO (100%);,8252890,"C,D,PP"
2014,"Calhoun Power Company, LLC",1000812,720 GREEN VALLEY DRIVE,33.5883,-85.9731,EASTABOGA,Calhoun,AL,,,,36260,"Calhoun Power Company, LLC (100%);",21056,"C,D"
2014,Charles R Lowman,1001418,CARSON ROAD,31.4858,-87.9106,LEROY,Washington,AL,,,,36548,POWERSOUTH ENERGY COOPERATIVE (100%);,2164536,D
2014,Colbert,1007829,900 STEAM PLANT RD,34.7439,-87.8486,TUSCUMBIA,Colbert,AL,,,,35674,US GOVERNMENT (%);,3593511,"C,D"
