YEAR	NORTH DAKOTA	SOUTH DAKOTA
	ANN PROD	ANN PROD


1800	0	0
1801	0	0
1802	0	0
1803	0	0
1804	0	0
1805	0	0
1806	0	0
1807	0	0
1808	0	0
1809	0	0
1810	0	0
1811	0	0
1812	0	0
1813	0	0
1814	0	0
1815	0	0
1816	0	0
1817	0	0
1818	0	0
1819	0	0
1820	0	0
1821	0	0
1822	0	0
1823	0	0
1824	0	0
1825	0	0
1826	0	0
1827	0	0
1828	0	0
1829	0	0
1830	0	0
1831	0	0
1832	0	0
1833	0	0
1834	0	0
1835	0	0
1836	0	0
1837	0	0
1838	0	0
1839	0	0
1840	0	0
1841	0	0
1842	0	0
1843	0	0
1844	0	0
1845	0	0
1846	0	0
1847	0	0
1848	0	0
1849	0	0
1850	0	0
1851	0	0
1852	0	0
1853	0	0
1854	0	0
1855	0	0
1856	0	0
1857	0	0
1858	0	0
1859	0	0
1860	0	0
1861	0	0
1862	0	0
1863	0	0
1864	0	0
1865	0	0
1866	0	0
1867	0	0
1868	0	0
1869	0	0
1870	0	0
1871	0	0
1872	0	0
1873	0	0
1874	200	0
1875	"1,000"	0
1876	"2,000"	0
1877	"5,000"	0
1878	"10,000"	0
1879	"15,000"	0
1880	"20,000"	0
1881	"30,000"	0
1882	"43,000"	0
1883	"56,000"	0
1884	"45,000"	0
1885	"25,000"	0
1886	"25,955"	0
1887	"21,470"	0
1888	"34,000"	0
1889	"28,907"	0
1890	"30,000"	0
1891	"30,000"	0
1892	"40,725"	0
1893	"49,630"	0
1894	"42,015"	0
1895	"38,997"	0
1896	"78,050"	0
1897	"77,246"	0
1898	"83,895"	0
1899	"98,809"	0
1900	"129,883"	0
1901	"166,601"	0
1902	"226,511"	0
1903	"278,645"	0
1904	"271,928"	0
1905	"317,542"	0
1906	"305,689"	0
1907	"347,760"	0
1908	"320,742"	0
1909	"422,047"	0
1910	"399,041"	0
1911	"502,628"	0
1912	"499,480"	0
1913	"495,320"	0
1914	"506,685"	0
1915	"528,078"	0
1916	"634,912"	0
1917	"790,548"	0
1918	"719,733"	0
1919	"840,959"	"14,417"
1920	"948,625"	"12,777"
1921	"864,903"	"7,553"
1922	"1,327,564"	"7,752"
1923	"1,385,400"	"10,379"
1924	"1,200,527"	"12,043"
1925	"1,324,620"	"14,447"
1926	"1,370,244"	"14,428"
1927	"1,527,939"	"12,507"
1928	"1,649,930"	"13,929"
1929	"1,862,130"	"12,854"
1930	"1,700,157"	"12,810"
1931	"1,519,307"	"27,485"
1932	"1,739,658"	"49,074"
1933	"1,782,272"	"59,375"
1934	"1,753,888"	"42,407"
1935	"1,955,510"	"13,242"
1936	"2,215,335"	"41,331"
1937	"2,250,837"	"46,979"
1938	"2,050,099"	"48,058"
1939	"2,072,493"	"47,782"
1940	"2,218,434"	"66,085"
1941	"2,308,288"	"70,825"
1942	"2,537,016"	"53,538"
1943	"2,500,202"	"40,664"
1944	"2,366,092"	"26,827"
1945	"2,522,319"	"24,445"
1946	"2,554,682"	"16,946"
1947	"2,760,000"	
1948	"2,961,000"	
1949	"2,967,000"	
1950	"3,261,000"	
1951	"3,224,000"	
1952	"2,984,000"	
1953	"2,803,000"	
1954	"2,800,000"	
1955	"3,102,000"	
1956	"2,815,000"	
1957	"2,561,000"	
1958	"2,314,000"	
1959	"2,413,000"	
1960	"2,525,000"	
1961	"2,726,000"	
1962	"2,733,000"	
1963	"2,399,000"	
1964	"2,637,000"	
1965	"2,732,000"	
1966	"3,543,000"	
1967	"4,156,000"	"5,000"
1968	"4,847,000"	
1969	"4,704,000"	
1970	"5,639,000"	
1971	"6,075,000"	
1972	"6,632,000"
1973	"6,906,000"
1974	"7,463,000"
1975	"8,515,000"
1976	"11,102,000"
1977	"12,028,000"
1978	"14,028,000"
1979	"15,135,000"
1980	"16,975,000"
1981	"18,122,000"
1982	"17,855,000"
1983	"19,190,000"
1984	"22,112,000"
1985	"26,871,000"
1986	"25,640,000"
1987	"25,142,000"
1988	"29,731,000"	
1989	"29,566,000"	
1990	"29,213,000"	
1991	"29,530,000"	
1992	"31,744,000"	
1993	"31,973,000"	
1994	"32,286,000"	
1995	"30,112,000"	
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
