STATE	TEXAS	LOUISIANA
YEAR	ANN PROD	ANN PROD

1800	0	0
1801	0	0
1802	0	0
1803	0	0
1804	0	0
1805	0	0
1806	0	0
1807	0	0
1808	0	0
1809	0	0
1810	0	0
1811	0	0
1812	0	0
1813	0	0
1814	0	0
1815	0	0
1816	0	0
1817	0	0
1818	0	0
1819	0	0
1820	0	0
1821	0	0
1822	0	0
1823	0	0
1824	0	0
1825	0	0
1826	0	0
1827	0	0
1828	0	0
1829	0	0
1830	0	0
1831	0	0
1832	0	0
1833	0	0
1834	0	0
1835	0	0
1836	0	0
1837	0	0
1838	0	0
1839	0	0
1840	0	0
1841	0	0
1842	0	0
1843	0	0
1844	0	0
1845	0	0
1846	0	0
1847	0	0
1848	0	0
1849	0	0
1850	100	0
1851	120	0
1852	150	0
1853	180	0
1854	200	0
1855	300	0
1856	400	0
1857	500	0
1858	600	0
1859	700	0
1860	800	0
1861	"1,000"	0
1862	"1,000"	0
1863	"1,000"	0
1864	"1,000"	0
1865	"1,000"	0
1866	"1,000"	0
1867	"1,000"	0
1868	"5,000"	0
1869	"10,000"	0
1870	"15,000"	0
1871	"20,000"	0
1872	"25,000"	0
1873	"50,000"	0
1874	"70,000"	0
1875	"90,000"	0
1876	"100,000"	0
1877	"100,000"	0
1878	"100,000"	0
1879	"100,000"	0
1880	"100,000"	0
1881	"100,000"	0
1882	"100,000"	0
1883	"112,000"	0
1884	"112,000"	0
1885	"150,000"	0
1886	"100,000"	0
1887	"75,000"	0
1888	"90,000"	0
1889	"128,216"	0
1890	"184,440"	0
1891	"172,100"	0
1892	"245,690"	0
1893	"302,206"	0
1894	"420,848"	0
1895	"484,959"	0
1896	"544,015"	0
1897	"639,341"	0
1898	"686,734"	0
1899	"883,832"	0
1900	"968,373"	0
1901	"1,107,953"	0
1902	"901,912"	0
1903	"926,759"	0
1904	"1,195,944"	0
1905	"1,200,684"	0
1906	"1,312,873"	0
1907	"1,648,069"	0
1908	"1,895,377"	0
1909	"1,824,440"	0
1910	"1,892,176"	0
1911	"1,974,593"	0
1912	"2,188,612"	0
1913	"2,429,144"	0
1914	"2,323,773"	0
1915	"2,088,908"	0
1916	"1,987,503"	0
1917	"2,355,815"	0
1918	"2,261,135"	0
1919	"1,680,656"	0
1920	"1,615,015"	0
1921	"972,839"	0
1922	"1,106,007"	0
1923	"1,187,329"	0
1924	"1,147,011"	0
1925	"1,008,375"	0
1926	"1,091,158"	0
1927	"1,326,385"	0
1928	"1,182,034"	0
1929	"1,100,668"	0
1930	"833,872"	0
1931	"716,020"	0
1932	"636,590"	0
1933	"821,878"	0
1934	"759,289"	0
1935	"757,529"	0
1936	"842,624"	0
1937	"910,352"	0
1938	"878,685"	0
1939	"826,317"	0
1940	"620,555"	0
1941	"352,808"	0
1942	"304,179"	0
1943	"153,241"	0
1944	"109,532"	0
1945	"79,949"	0
1946	"55,978"	0
1947	"60,000"	0
1948		0
1949		0
1950		0
1951		0
1952		0
1953		0
1954		0
1955		0
1956		0
1957		0
1958		0
1959		0
1960		0
1961		0
1962		0
1963		0
1964		0
1965		0
1966		0
1967		0
1968		0
1969		0
1970		0
1971		0
1972	"4,045,000"	0
1973	"6,944,000"	0
1974	"7,684,000"	0
1975	"11,002,000"	0
1976	"14,063,000"	0
1977	"15,865,000"	0
1978	"20,020,000"	0
1979	"27,180,000"	0
1980	"29,354,000"	0
1981	"32,814,000"	0
1982	"34,818,000"	0
1983	"38,947,000"	0
1984	"41,145,000"	0
1985	"45,459,000"	"207,000"
1986	"48,590,000"	"2,254,000"
1987	"50,529,000"	"2,751,000"
1988	"52,281,000"	"2,889,000"
1989	"53,854,000"	"2,983,000"
1990	"55,755,000"	"3,186,000"
1991	"53,825,000"	"3,151,000"
1992	"55,071,000"	"3,240,000"
1993	"54,567,000"	"3,134,000"
1994	"52,346,000"	"3,463,000"
1995	"52,648,000"	"3,719,000"
