YEAR	ILLINOIS	INDIANA	W. KENTUCKY
	ANN PROD 	ANN PROD 	ANN PROD 
1800			0
1801			0
1802			0
1803			0
1804			0
1805			0
1806			0
1807			0
1808			0
1809			0
1810	100		0
1811	100	100	0
1812	100	0	0
1813	100	0	0
1814	100	0	0
1815	200	0	0
1816	200	100	0
1817	200	100	0
1818	200	100	0
1819	200	400	0
1820	300	300	300
1821	300	300	300
1822	300	300	400
1823	400	300	400
1824	500	300	500
1825	900	400	"3,600"
1826	"1,400"	400	"3,900"
1827	"2,000"	400	"4,300"
1828	"2,500"	400	"4,600"
1829	"3,000"	500	"4,900"
1830	"3,600"	500	"5,300"
1831	"4,600"	500	"5,600"
1832	"5,900"	500	"5,900"
1833	"6,900"	"1,600"	"7,100"
1834	"8,000"	"1,900"	"7,300"
1835	"9,600"	"2,100"	"8,000"
1836	"11,200"	"2,500"	"9,300"
1837	"13,150"	"3,800"	"10,700"
1838	"16,700"	"4,400"	"12,100"
1839	"27,317"	"5,700"	"13,700"
1840	"36,760"	"9,200"	"15,300"
1841	"54,910"	"12,400"	"16,900"
1842	"73,210"	"16,800"	"18,500"
1843	"91,310"	"24,000"	"20,200"
1844	"109,450"	"21,300"	"21,500"
1845	"130,300"	"17,700"	"22,500"
1846	"151,600"	"14,000"	"23,000"
1847	"173,000"	"6,500"	"24,500"
1848	"194,800"	"6,700"	"25,800"
1849	"221,800"	"6,900"	"27,200"
1850	"259,200"	"7,300"	"28,600"
1851	"297,600"	"8,700"	"30,300"
1852	"337,100"	"10,500"	"31,500"
1853	"386,300"	"14,100"	"32,900"
1854	"436,500"	"16,700"	"34,400"
1855	"463,600"	"21,168"	"41,000"
1856	"529,400"	"25,648"	"46,900"
1857	"607,700"	"29,842"	"49,400"
1858	"690,100"	"34,571"	"52,000"
1859	"772,100"	"39,964"	"54,400"
1860	"857,600"	"45,824"	"56,800"
1861	"948,800"	"56,000"	"43,300"
1862	"1,038,200"	"67,200"	"4,200"
1863	"1,198,900"	"79,900"	"4,100"
1864	"1,315,868"	"92,500"	"104,100"
1865	"1,518,100"	"103,900"	"106,500"
1866	"1,707,100"	"114,500"	"109,135"
1867	"1,911,100"	"138,350"	"69,285"
1868	"2,165,600"	"250,850"	"104,107"
1869	"2,847,828"	"441,000"	"136,964"
1870	"3,040,970"	"558,900"	"157,135"
1871	"3,375,700"	"650,400"	"218,460"
1872	"3,873,805"	"685,700"	"375,325"
1873	"4,504,472"	"723,000"	"391,300"
1874	"4,513,272"	"784,500"	"419,120"
1875	"4,754,063"	"823,800"	"440,355"
1876	"5,109,100"	"867,600"	"471,950"
1877	"5,393,640"	"912,500"	"505,070"
1878	"5,535,260"	"1,134,616"	"573,418"
1879	"6,255,415"	"1,449,496"	"751,413"
1880	"6,475,549"	"2,164,448"	"742,710"
1881	"7,452,200"	"1,418,513"	"796,600"
1882	"9,115,661"	"1,929,591"	"850,500"
1883	"12,123,456"	"1,722,089"	"904,800"
1884	"12,208,075"	"2,425,000"	"958,784"
1885	"11,834,459"	"2,994,000"	"1,014,600"
1886	"11,175,241"	"3,000,000"	"885,000"
1887	"12,423,066"	"3,217,711"	"982,294"
1888	"14,328,181"	"3,140,979"	"1,276,650"
1889	"12,104,272"	"2,845,057"	"1,290,985"
1890	"15,292,420"	"3,305,737"	"1,315,128"
1891	"15,660,698"	"2,973,474"	"1,608,074"
1892	"17,862,276"	"3,345,174"	"1,734,652"
1893	"19,949,564"	"3,791,851"	"1,799,793"
1894	"17,113,576"	"3,423,921"	"1,806,966"
1895	"17,735,864"	"3,995,892"	"1,784,279"
1896	"19,786,626"	"3,905,779"	"1,762,461"
1897	"20,072,758"	"4,151,169"	"2,114,572"
1898	"18,599,299"	"4,920,743"	"2,071,071"
1899	"24,439,019"	"6,006,523"	"2,740,565"
1900	"25,767,981"	"6,484,086"	"2,933,502"
1901	"27,331,552"	"6,918,225"	"3,071,650"
1902	"32,939,373"	"9,446,424"	"3,643,975"
1903	"36,957,104"	"10,794,692"	"4,244,782"
1904	"36,475,060"	"10,842,189"	"4,121,564"
1905	"38,434,363"	"11,895,252"	"4,682,057"
1906	"41,480,104"	"12,092,560"	"5,788,491"
1907	"51,317,146"	"13,985,713"	"6,160,782"
1908	"47,659,690"	"12,314,890"	"5,634,596"
1909	"50,904,990"	"14,834,259"	"5,578,161"
1910	"45,900,246"	"18,389,815"	"8,448,752"
1911	"53,679,118"	"14,201,355"	"6,959,541"
1912	"59,885,226"	"15,285,718"	"7,795,904"
1913	"61,618,774"	"17,165,671"	"8,439,049"
1914	"57,589,197"	"16,641,132"	"7,794,807"
1915	"58,829,576"	"17,006,152"	"7,585,465"
1916	"66,195,336"	"20,093,528"	"7,727,428"
1917	"86,195,387"	"26,539,329"	"9,937,617"
1918	"89,291,105"	"30,678,634"	"10,798,690"
1919	"60,862,608"	"20,912,288"	"8,632,236"
1920	"88,724,893"	"29,350,585"	"10,715,826"
1921	"69,602,763"	"20,319,509"	"8,118,385"
1922	"58,467,736"	"19,132,889"	"13,263,190"
1923	"79,310,075"	"26,229,099"	"9,975,405"
1924	"68,323,281"	"21,480,213"	"8,126,484"
1925	"66,909,359"	"21,224,966"	"11,765,388"
1926	"69,366,923"	"23,186,006"	"16,307,976"
1927	"46,848,224"	"17,935,758"	"20,071,046"
1928	"55,948,199"	"16,378,580"	"15,948,500"
1929	"60,657,641"	"18,344,358"	"14,100,791"
1930	"53,731,230"	"16,489,962"	"10,440,347"
1931	"44,303,295"	"14,295,165"	"8,342,349"
1932	"33,474,553"	"13,323,573"	"9,367,147"
1933	"37,413,145"	"13,761,052"	"8,019,979"
1934	"41,272,384"	"14,793,643"	"8,202,591"
1935	"44,525,469"	"15,754,214"	"8,598,407"
1936	"50,926,599"	"17,822,536"	"8,268,047"
1937	"51,601,638"	"17,764,774"	"8,357,311"
1938	"41,912,085"	"14,758,284"	"7,533,698"
1939	"46,782,691"	"16,942,772"	"7,979,526"
1940	"50,610,430"	"18,868,572"	"8,559,794"
1941	"54,703,284"	"22,483,929"	"11,488,527"
1942	"65,070,819"	"25,388,051"	"13,394,790"
1943	"72,631,270"	"25,064,583"	"15,275,317"
1944	"76,791,449"	"27,961,883"	"20,395,891"
1945	"73,011,192"	"25,182,611"	"20,965,303"
1946	"63,468,585"	"21,696,947"	"18,855,321"
1947	"67,860,000"	"25,449,000"	"22,622,607"
1948	"65,342,000"	"23,849,000"	"23,125,056"
